"","Site.ID","Latitude..degrees.","Longitude..degrees.","Elevation..m."
"1","CA-AF1",46.0092,-66.3627,78
"2","CA-ARB",52.695,-83.9452,90
"3","CA-ARF",52.7008,-83.955,88
"4","CA-BOU",50.5244,-63.2064,108
"5","CA-CF3",58.6658,-93.8304,25
"6","CA-DB2",49.119,-122.9951,4
"7","CA-DBB",49.1293,-122.9849,4
"8","CA-DSM",49.0887,-122.8954,NA
"9","CA-EM1",50.3623,-100.2024,607.9
"10","CA-EM2",50.3706,-100.5339,554.3
"11","CA-ER1",43.6405,-80.4123,370
"12","CA-HPC",68.3203,-133.5188,80
"13","CA-LP1",55.1119,-122.8414,751
"14","CA-Mtk",72.6695,-77.9981,15
"15","CA-SCB",61.3089,-121.2984,280
"16","CA-SCC",61.3079,-121.2992,285
"17","CA-SMC",63.1534,-123.2522,150
"18","CA-TVC",68.7462,-133.5017,85
"19","US-A03",70.4953,-149.8823,5
"20","US-A32",36.8193,-97.8198,335
"21","US-A37",36.3106,-97.928,378.9
"22","US-A74",36.8085,-97.5489,337
"23","US-Act",39.582,-84.755,263
"24","US-ADR",36.7653,-116.6933,842
"25","US-ALQ",46.0308,-89.6067,NA
"26","US-AMS",41.7018,-87.9963,232
"27","US-ASH",36.1697,-120.201,147
"28","US-ASL",36.9466,-120.1024,78
"29","US-ASM",36.1777,-120.2026,147
"30","US-Bi1",38.0992,-121.4993,-2.7
"31","US-Bi2",38.1091,-121.5351,-5
"32","US-BMM",45.783,-110.7776,2324
"33","US-BRG",39.2167,-86.5406,180
"34","US-Bsg",43.4712,-119.6909,1398
"35","US-BWa",39.1389,-77.2175,NA
"36","US-BWb",39.1955,-77.4509,NA
"37","US-BZB",64.6955,-148.3208,100
"38","US-BZF",64.7013,-148.3121,95
"39","US-BZo",64.6936,-148.33,100
"40","US-BZS",64.6963,-148.3235,100
"41","US-CC1",44.0732,-89.6787,314
"42","US-CC2",44.1039,-89.6196,320
"43","US-CdM",37.5241,-109.7471,1860
"44","US-CF1",46.7815,-117.0821,794
"45","US-CF2",46.784,-117.0908,807
"46","US-CF3",46.7551,-117.1261,795
"47","US-CF4",46.7518,-117.1285,795
"48","US-CGG",37.938,-121.9761,119.5
"49","US-CLF",40.6366,-77.9424,244
"50","US-CMW",31.6637,-110.1777,1199
"51","US-CRK",31.4629,-95.3415,151
"52","US-CRT",41.6285,-83.3471,180
"53","US-CS1",44.1031,-89.5379,328
"54","US-CS2",44.1467,-89.5002,328
"55","US-CS3",44.1394,-89.5727,328
"56","US-CS4",44.1597,-89.5475,328
"57","US-CS5",44.1095,-89.5377,328
"58","US-CS6",44.4297,-89.544,328
"59","US-CS8",44.4338,-89.5364,328
"60","US-Cst",33.0442,-91.9204,50
"61","US-CU1",41.8694,-87.6459,183.4
"62","US-Cwt",35.0592,-83.4275,690
"63","US-DFC",43.3448,-89.7117,264.9
"64","US-DFK",43.3453,-89.7154,210
"65","US-Dmg",38.0015,-121.6691,1
"66","US-DPW",28.0521,-81.4361,23
"67","US-DS1",38.1335,-121.539,-6
"68","US-DS2",38.1375,-121.514,-6
"69","US-DS3",38.1235,-121.549,-7
"70","US-EA4",29.6633,-98.3816,297
"71","US-EA5",29.3584,-99.9576,322
"72","US-EA6",29.6561,-99.9588,480
"73","US-EDN",37.6156,-122.114,NA
"74","US-EKH",36.8094,-121.7523,0.5
"75","US-EKN",36.8357,-121.7328,0
"76","US-EKP",36.8558,-121.7488,0
"77","US-EvM",25.3539,-80.381,0.332
"78","US-Fcr",65.3968,-148.9348,265
"79","US-Fo1",70.085,-148.5671,28
"80","US-Fo2",70.0229,-148.6598,41
"81","US-GL1",47.1835,-87.2251,183
"82","US-HB1",33.3455,-79.1957,0.1
"83","US-HB2",33.3242,-79.244,4.7
"84","US-HB3",33.3482,-79.2322,7.3
"85","US-HB4",33.2015,-79.2975,1
"86","US-HBK",43.9397,-71.7181,367
"87","US-Hn2",46.6889,-119.4641,117.5
"88","US-Hn3",46.6878,-119.4614,120.9
"89","US-HRA",34.5852,-91.7517,NA
"90","US-HRC",34.5888,-91.7517,NA
"91","US-Hsm",38.2368,-122.0212,1.113
