tower,site_id,match_basis,primary,primary_reason,excluded_reason,tower_lon,tower_lat,lon_index,lat_index,distance_m,utc_offset_hours,utc_offset_source,utc_offset_separation,shortwave_lag_steps,resolution_minutes,record_steps,doi,site_version,igbp,source_file,comment
CA-ARB,3528,pool_input_list,True,,,-83.9452,52.695,11406,5483,102.15084094753256,-5.0,recovered from SW_IN_POT,10.29241064081083,0,30,70176,https://doi.org/10.17190/AMF/1902821,5-7,WET,AMF_CA-ARB_FLUXNET_FULLSET_HH_2011-2015_5-7.csv,
CA-ARF,3525,pool_input_list,True,,,-83.955,52.7008,11405,5484,378.6459283248112,-5.0,recovered from SW_IN_POT,10.293831251143578,0,30,70176,https://doi.org/10.17190/AMF/1902822,5-7,WET,AMF_CA-ARF_FLUXNET_FULLSET_HH_2011-2015_5-7.csv,
CA-BOU,3741,pool_input_list,True,,,-63.2064,50.5244,13895,5222,426.7359401399307,-4.0,recovered from SW_IN_POT,10.538398908066366,0,30,52608,https://doi.org/10.17190/AMF/2469435,4-7,WET,AMF_CA-BOU_FLUXNET_FULLSET_HH_2018-2020_4-7.csv,
CA-Cbo,4653,named_in_pool,True,,,-79.9341,44.3184,11887,4478,476.6988539917939,-5.0,recovered from SW_IN_POT,10.92162574441553,0,30,157872,https://doi.org/10.17190/AMF/1854365,3-5,DBF,AMF_CA-Cbo_FLUXNET_FULLSET_HH_1994-2020_3-5.csv,"AmeriFlux's coordinates fall 477 m from the site's center, outside its cell; matched by named_in_pool"
CA-DB2,3859,pool_input_list,True,,,-122.9951,49.119,6720,5054,210.85572493811992,-8.0,recovered from SW_IN_POT,10.457134614751933,0,30,35088,https://doi.org/10.17190/AMF/1881564,5-7,WET,AMF_CA-DB2_FLUXNET_FULLSET_HH_2019-2020_5-7.csv,
CA-DBB,3858,pool_input_list,True,,,-122.9849,49.1293,6721,5055,189.82382841088958,-8.0,recovered from SW_IN_POT,10.448195529937907,0,30,122736,https://doi.org/10.17190/AMF/1881565,4-6,WET,AMF_CA-DBB_FLUXNET_FULLSET_HH_2014-2020_4-6.csv,
CA-DSM,3863,pool_input_list,True,,,-122.8954,49.0887,6732,5050,137.0216872701879,-8.0,recovered from SW_IN_POT,10.444257567256175,0,30,70128,https://doi.org/10.17190/AMF/2571137,3-7,WET,AMF_CA-DSM_FLUXNET_FULLSET_HH_2021-2024_3-7.csv,
CA-EM1,3766,pool_input_list,True,,,-100.2024,50.3623,9455,5203,127.36666333876771,-6.0,recovered from SW_IN_POT,10.427236095963863,0,30,52560,https://doi.org/10.17190/AMF/2469436,4-7,WET,AMF_CA-EM1_FLUXNET_FULLSET_HH_2021-2023_4-7.csv,
CA-EM2,3765,pool_input_list,True,,,-100.5339,50.3706,9415,5204,256.7180206437166,-6.0,recovered from SW_IN_POT,10.449431961112744,0,30,52560,https://doi.org/10.17190/AMF/2571141,3-7,WET,AMF_CA-EM2_FLUXNET_FULLSET_HH_2021-2023_3-7.csv,
CA-ER1,4780,pool_input_list,True,,,-80.4123,43.6405,11830,4396,333.8642417108857,-5.0,recovered from SW_IN_POT,10.952235826239688,0,30,122736,https://doi.org/10.17190/AMF/1832154,4-7,CRO,AMF_CA-ER1_FLUXNET_FULLSET_HH_2015-2021_4-7.csv,
CA-Gro,3959,named_in_pool,True,,,-82.1556,48.2167,11621,4946,471.808086652264,-5.0,recovered from SW_IN_POT,10.685180739309056,0,30,52656,https://doi.org/10.17190/AMF/1902823,5-7,MF,AMF_CA-Gro_FLUXNET_FULLSET_HH_2003-2014_5-7.csv,
CA-HPC,766,pool_input_list,True,,,-133.5188,68.3203,5457,7358,102.53529872215009,-6.0,recovered from SW_IN_POT,2.834526929549426,-1,30,17520,https://doi.org/10.17190/AMF/2469437,4-7,ENF,AMF_CA-HPC_FLUXNET_FULLSET_HH_2018-2018_4-7.csv,"measured shortwave sits -30 minutes from SW_IN_POT, within the check's tolerance of one half-hour step"
CA-LP1,3224,pool_input_list,True,,,-122.8414,55.1119,6739,5773,256.82438878292123,-8.0,recovered from SW_IN_POT,9.881069725832027,0,30,140352,https://doi.org/10.17190/AMF/1832155,4-6,ENF,AMF_CA-LP1_FLUXNET_FULLSET_HH_2007-2022_4-6.csv,
CA-Mer,4449,named_in_pool,True,,,-75.5186,45.4094,12417,4609,386.4195165703891,-5.0,recovered from SW_IN_POT,10.849515957542868,0,30,157872,https://doi.org/10.17190/AMF/2571102,3-7,WET,AMF_CA-Mer_FLUXNET_FULLSET_HH_1998-2020_3-7.csv,
CA-Mtk,262,pool_input_list,False,,clock: measured shortwave sits 60 minutes from SW_IN_POT,-77.9981,72.6695,12120,7880,166.2708788313743,-6.0,recovered from SW_IN_POT,2.9011476042873827,2,30,17568,https://doi.org/10.17190/AMF/2571152,3-7,GRA,AMF_CA-Mtk_FLUXNET_FULLSET_HH_2024-2024_3-7.csv,
CA-SCB,2042,pool_input_list,True,,,-121.2984,61.3089,6924,6517,423.18930181942676,-7.0,recovered from SW_IN_POT,9.071271078001946,0,30,105168,https://doi.org/10.17190/AMF/2469439,4-7,WET,AMF_CA-SCB_FLUXNET_FULLSET_HH_2014-2019_4-7.csv,
