"site","pft"
1,"semiarid.grassland_HPDA"
2,"semiarid.grassland_HPDA"
3,"semiarid.grassland_HPDA"
4,"semiarid.grassland_HPDA"
5,"semiarid.grassland_HPDA"
6,"semiarid.grassland_HPDA"
7,"semiarid.grassland_HPDA"
8,"semiarid.grassland_HPDA"
9,"semiarid.grassland_HPDA"
10,"semiarid.grassland_HPDA"
11,"semiarid.grassland_HPDA"
12,"semiarid.grassland_HPDA"
13,"semiarid.grassland_HPDA"
14,"semiarid.grassland_HPDA"
15,"semiarid.grassland_HPDA"
16,"semiarid.grassland_HPDA"
17,"semiarid.grassland_HPDA"
18,"semiarid.grassland_HPDA"
19,"semiarid.grassland_HPDA"
20,"semiarid.grassland_HPDA"
21,"semiarid.grassland_HPDA"
22,"semiarid.grassland_HPDA"
23,"semiarid.grassland_HPDA"
24,"semiarid.grassland_HPDA"
25,"semiarid.grassland_HPDA"
26,"semiarid.grassland_HPDA"
27,"semiarid.grassland_HPDA"
28,"semiarid.grassland_HPDA"
29,"semiarid.grassland_HPDA"
30,"semiarid.grassland_HPDA"
31,"semiarid.grassland_HPDA"
32,"semiarid.grassland_HPDA"
33,"semiarid.grassland_HPDA"
34,"semiarid.grassland_HPDA"
35,"semiarid.grassland_HPDA"
36,"semiarid.grassland_HPDA"
37,"semiarid.grassland_HPDA"
38,"semiarid.grassland_HPDA"
39,"semiarid.grassland_HPDA"
40,"semiarid.grassland_HPDA"
41,"semiarid.grassland_HPDA"
42,"semiarid.grassland_HPDA"
43,"semiarid.grassland_HPDA"
44,"semiarid.grassland_HPDA"
45,"semiarid.grassland_HPDA"
46,"semiarid.grassland_HPDA"
47,"semiarid.grassland_HPDA"
48,"semiarid.grassland_HPDA"
49,"semiarid.grassland_HPDA"
50,"semiarid.grassland_HPDA"
51,"semiarid.grassland_HPDA"
52,"semiarid.grassland_HPDA"
53,"semiarid.grassland_HPDA"
54,"semiarid.grassland_HPDA"
55,"semiarid.grassland_HPDA"
56,"semiarid.grassland_HPDA"
57,"semiarid.grassland_HPDA"
58,"semiarid.grassland_HPDA"
59,"semiarid.grassland_HPDA"
60,"semiarid.grassland_HPDA"
61,"semiarid.grassland_HPDA"
62,"semiarid.grassland_HPDA"
63,"semiarid.grassland_HPDA"
64,"semiarid.grassland_HPDA"
65,"semiarid.grassland_HPDA"
66,"semiarid.grassland_HPDA"
67,"semiarid.grassland_HPDA"
68,"semiarid.grassland_HPDA"
69,"semiarid.grassland_HPDA"
70,"semiarid.grassland_HPDA"
71,"semiarid.grassland_HPDA"
72,"semiarid.grassland_HPDA"
73,"semiarid.grassland_HPDA"
74,"semiarid.grassland_HPDA"
75,"semiarid.grassland_HPDA"
76,"semiarid.grassland_HPDA"
77,"semiarid.grassland_HPDA"
78,"semiarid.grassland_HPDA"
79,"semiarid.grassland_HPDA"
80,"semiarid.grassland_HPDA"
81,"semiarid.grassland_HPDA"
82,"semiarid.grassland_HPDA"
83,"semiarid.grassland_HPDA"
84,"semiarid.grassland_HPDA"
85,"semiarid.grassland_HPDA"
86,"semiarid.grassland_HPDA"
87,"semiarid.grassland_HPDA"
88,"semiarid.grassland_HPDA"
89,"semiarid.grassland_HPDA"
90,"semiarid.grassland_HPDA"
91,"semiarid.grassland_HPDA"
92,"semiarid.grassland_HPDA"
93,"semiarid.grassland_HPDA"
94,"semiarid.grassland_HPDA"
95,"semiarid.grassland_HPDA"
96,"semiarid.grassland_HPDA"
97,"semiarid.grassland_HPDA"
98,"semiarid.grassland_HPDA"
99,"semiarid.grassland_HPDA"
100,"semiarid.grassland_HPDA"
101,"semiarid.grassland_HPDA"
102,"semiarid.grassland_HPDA"
103,"semiarid.grassland_HPDA"
104,"semiarid.grassland_HPDA"
105,"semiarid.grassland_HPDA"
106,"semiarid.grassland_HPDA"
107,"semiarid.grassland_HPDA"
108,"semiarid.grassland_HPDA"
109,"semiarid.grassland_HPDA"
110,"semiarid.grassland_HPDA"
111,"semiarid.grassland_HPDA"
112,"semiarid.grassland_HPDA"
113,"semiarid.grassland_HPDA"
114,"semiarid.grassland_HPDA"
115,"semiarid.grassland_HPDA"
116,"semiarid.grassland_HPDA"
117,"semiarid.grassland_HPDA"
118,"semiarid.grassland_HPDA"
119,"semiarid.grassland_HPDA"
120,"semiarid.grassland_HPDA"
121,"semiarid.grassland_HPDA"
122,"semiarid.grassland_HPDA"
123,"semiarid.grassland_HPDA"
124,"semiarid.grassland_HPDA"
125,"semiarid.grassland_HPDA"
126,"semiarid.grassland_HPDA"
127,"semiarid.grassland_HPDA"
128,"semiarid.grassland_HPDA"
129,"semiarid.grassland_HPDA"
130,"semiarid.grassland_HPDA"
131,"semiarid.grassland_HPDA"
132,"semiarid.grassland_HPDA"
133,"semiarid.grassland_HPDA"
134,"semiarid.grassland_HPDA"
135,"semiarid.grassland_HPDA"
136,"semiarid.grassland_HPDA"
137,"semiarid.grassland_HPDA"
138,"semiarid.grassland_HPDA"
139,"semiarid.grassland_HPDA"
140,"semiarid.grassland_HPDA"
141,"semiarid.grassland_HPDA"
142,"semiarid.grassland_HPDA"
143,"semiarid.grassland_HPDA"
144,"semiarid.grassland_HPDA"
145,"semiarid.grassland_HPDA"
146,"semiarid.grassland_HPDA"
147,"semiarid.grassland_HPDA"
148,"semiarid.grassland_HPDA"
149,"semiarid.grassland_HPDA"
150,"semiarid.grassland_HPDA"
151,"semiarid.grassland_HPDA"
