index,final_pft_direct,final_source_type,source_file,pam_used_for_clustering,pam_k,pam_cluster,subpft_name,dbf_original_pam_cluster,cropland_final_group,final_pft,final_pft_assignment_method,final_pft_source_final,nearest_ecological_distance,second_nearest_final_pft,second_nearest_ecological_distance,distance_margin,n_vars_used_in_distance
1,,,,,,,,,,Open_Shrublands__P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.133939187220133,Open_Vegetation_Complex_P1,0.151781984217648,0.017842796997515,14
10,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
100,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
11,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
12,,,,,,,,,,Open_Shrublands__P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.114807149221573,Open_Vegetation_Complex_P1,0.124336831747753,0.00952968252617933,14
13,,,,,,,,,,Open_Shrublands__P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.117326832271528,Open_Vegetation_Complex_P1,0.120721024967281,0.003394192695753,14
14,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
15,,,,,,,,,,Open_Shrublands__P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.12581623115245,Open_Vegetation_Complex_P1,0.136636951742414,0.0108207205899643,14
16,,,,,,,,,,Open_Vegetation_Complex_P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.0593011090754131,Open_Shrublands__P1,0.0686799682207693,0.00937885914535624,14
17,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
18,,,,,,,,,,Open_Shrublands__P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.128529263183956,Open_Vegetation_Complex_P1,0.139107348248879,0.0105780850649224,14
19,,,,,,,,,,Open_Shrublands__P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.137306468568442,Open_Vegetation_Complex_P1,0.153829820591095,0.0165233520226531,14
2,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
20,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
21,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
22,,,,,,,,,,Open_Vegetation_Complex_P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.1128615078972,Open_Shrublands__P1,0.131579819218333,0.0187183113211329,13
23,,,,,,,,,,Open_Vegetation_Complex_P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.122747328610366,Open_Shrublands__P1,0.131114157411378,0.00836682880101193,14
24,,,,,,,,,,Open_Shrublands__P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.0553720771050098,Open_Vegetation_Complex_P1,0.0633918185539137,0.00801974144890387,14
25,,,,,,,,,,Open_Shrublands__P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.110112211027959,Open_Vegetation_Complex_P1,0.119572736048973,0.00946052502101356,14
26,,,,,,,,,,Open_Shrublands__P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.114781479231909,Open_Vegetation_Complex_P1,0.118126119470965,0.00334464023905573,14
27,,,,,,,,,,Open_Vegetation_Complex_P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.109995532099174,Open_Shrublands__P1,0.122143982221268,0.0121484501220939,14
28,,,,,,,,,,Open_Shrublands__P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.0630780095906177,Open_Vegetation_Complex_P1,0.0662129171831531,0.00313490759253533,14
29,,,,,,,,,,Open_Vegetation_Complex_P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.105133371600534,Open_Shrublands__P1,0.117021182259441,0.0118878106589067,14
3,,,,,,,,,,Open_Shrublands__P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.109985714283774,Open_Vegetation_Complex_P1,0.132421371062547,0.022435656778773,14
30,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
31,,,,,,,,,,Open_Shrublands__P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.128213245219233,Open_Vegetation_Complex_P1,0.138755919678398,0.0105426744591648,14
32,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
33,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
34,,,,,,,,,,Open_Shrublands__P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.130342528856116,Open_Vegetation_Complex_P1,0.14700935976346,0.0166668309073439,14
35,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
36,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
37,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
38,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
39,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
4,,,,,,,,,,Open_Shrublands__P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.110529905144998,Open_Vegetation_Complex_P1,0.12110799020992,0.0105780850649224,14
40,,,,,,,,,,Open_Vegetation_Complex_P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.0580221135957519,Open_Shrublands__P1,0.0634616554296417,0.00543954183388978,14
41,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
42,,,,,,,,,,Open_Vegetation_Complex_P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.10292837702419,Open_Shrublands__P1,0.121088368483933,0.0181599914597425,14
43,,,,,,,,,,Open_Vegetation_Complex_P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.116250749420978,Open_Shrublands__P1,0.129180914846153,0.012930165425175,14
44,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
45,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
46,,,,,,,,,,Open_Shrublands__P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.0703086779853714,Open_Vegetation_Complex_P1,0.0738362905515272,0.00352761256615586,14
47,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
48,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
49,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
5,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
50,,,,,,,,,,Open_Shrublands__P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.113631956769653,Open_Vegetation_Complex_P1,0.122981149439556,0.00934919266990292,14
51,,,,,,,,,,Open_Vegetation_Complex_P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.0424342583586826,Open_Shrublands__P1,0.0576455987452076,0.015211340386525,14
52,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
53,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
54,,,,,,,,,,Open_Vegetation_Complex_P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.127244594267066,Open_Shrublands__P1,0.132451945544083,0.00520735127701691,14
55,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
56,,,,,,,,,,Open_Vegetation_Complex_P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.107166096763368,Open_Shrublands__P1,0.128676702383124,0.0215106056197559,14
57,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
58,,,,,,,,,,Open_Vegetation_Complex_P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.123817062965248,Open_Shrublands__P1,0.128968400750491,0.00515133778524231,14
59,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
6,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
60,,,,,,,,,,Open_Vegetation_Complex_P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.116450869833426,Open_Shrublands__P1,0.129524514143291,0.0130736443098658,14
61,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
62,,,,,,,,,,Open_Vegetation_Complex_P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.117969638646589,Open_Shrublands__P1,0.128458175774187,0.0104885371275973,14
63,,,,,,,,,,Open_Vegetation_Complex_P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.14116960583627,Open_Shrublands__P1,0.143265001820427,0.0020953959841572,14
64,,,,,,,,,,Open_Vegetation_Complex_P1,nearest_final_pft_median_profile_14_proxy_vars,nearest_ecological_distance,0.109594773267567,Open_Shrublands__P1,0.118798812592052,0.00920403932448527,14
65,Open_Vegetation_Complex_P1,open_vegetation_complex,open_complex_k4_site_new_subpft.csv,TRUE,4,P1,Open_Vegetation_Complex_P1,,,Open_Vegetation_Complex_P1,direct_or_standalone_assignment,open_vegetation_complex,,,,,
