Site_ID,index
US-xDC,4102
US-xWD,4113
US-CF2,4164
US-CF1,4169
US-xNG,4170
US-CF3,4172
US-Hn3,4183
US-Syv,4253
US-xUN,4254
US-ALQ,4298
US-PFe,4307
US-PFb,4311
US-PFc,4312
US-PFd,4313
US-PFg,4314
US-PFi,4315
US-PFj,4316
US-PFh,4317
US-PFL,4325
US-PFp,4326
US-PFq,4331
US-PFm,4334
US-PFr,4336
US-PFt,4337
US-PFk,4342
US-xWR,4360
US-xAB,4377
US-MN2,4403
US-MN1,4407
US-MN3,4410
US-UMB,4420
US-UMd,4421
US-xST,4431
US-xTR,4435
CA-Mer,4449
US-Ho2,4478
US-Ho1,4480
US-xYE,4527
US-Ro2,4556
US-Ro1,4561
US-Ro6,4567
US-Ro5,4569
US-Ro4,4573
US-Me2,4618
US-CS8,4624
US-CS6,4625
US-Me6,4652
CA-Cbo,4653
US-CS4,4683
US-CS2,4687
US-CS3,4689
US-CS5,4692
US-CS1,4697
US-xBR,4705
CA-ER1,4780
US-DFC,4841
US-Rws,4871
US-Rls,4876
US-Rwf,4881
US-Rms,4888
CA-TP3,4943
CA-TP1,4955
CA-TPD,4958
US-Ha1,4977
US-CRT,5133
US-Oho,5149
US-WPT,5162
US-OWC,5179
US-GLE,5182
US-Ne1,5212
US-Ne2,5213
US-HWB,5259
US-xCP,5275
US-UC1,5288
US-UC2,5289
US-SSH,5301
US-xSL,5328
US-xRM,5361
US-xNQ,5377
US-UTV,5391
US-xNW,5406
US-NR1,5408
US-Slt,5428
US-RGo,5467
US-RGB,5481
US-MMS,5529
US-Mo3,5544
US-Mo1,5545
US-BRG,5546
US-xKA,5572
US-xKZ,5575
US-StJ,5578
US-Kon,5579
US-xBL,5584
US-KFS,5585
US-xUK,5588
US-Mo2,5602
US-xSC,5609
US-xSE,5612
US-KLS,5630
US-MOz,5636
US-Ton,5687
US-Var,5692
US-xMB,5711
US-Hsm,5713
US-Srr,5719
US-DS1,5729
US-DS2,5730
US-DS3,5732
US-Twt,5734
US-Tw3,5735
US-Bi2,5736
US-Tw1,5738
US-Tw4,5739
US-UTD,5740
US-Bi1,5741
US-Myb,5752
US-Sne,5758
US-Dmg,5764
US-CGG,5777
US-UTE,5806
US-RGF,5814
US-CdM,5847
US-xML,5876
US-RRC,5883
US-UTJ,5890
US-xSJ,5916
US-PSL,5961
US-A32,5963
US-A74,5964
US-AR2,5987
US-ARM,5997
US-AR1,6030
US-A37,6044
US-PSH,6058
US-ASM,6065
US-ASH,6066
US-xRN,6099
US-Vcm,6112
US-Vcp,6115
US-NC1,6121
US-NC3,6126
US-NC4,6129
US-xGR,6141
US-xAE,6183
US-Mpj,6346
US-Wjs,6349
US-RGA,6351
US-Seg,6361
US-Ses,6365
US-RGW,6458
US-xCL,6491
US-Akn,6496
US-HB3,6502
US-HB1,6503
US-HB2,6504
US-HB4,6524
US-Cst,6554
US-xTA,6567
US-xJR,6645
US-Jo2,6646
US-Jo1,6647
US-xDL,6656
US-MtB,6684
US-xSR,6771
US-SRC,6772
US-SRM,6797
US-SRS,6798
US-SRG,6805
US-Whs,6813
US-Wkg,6815
US-CRK,6868
US-xJE,6932
US-SP1,7177
US-xSB,7179
US-EA6,7185
US-LA3,7196
US-EA5,7205
US-xDS,7300
US-DPW,7303
US-PAS,7338
US-ONA,7339
US-Elm,7409
US-Esm,7413
US-EvM,7418
